chinese,pinyin,later_han,turkish_render,proposed_name,proposed_sense,note,status
頭曼,Touman,do mɑnᶜ,do man,Duman,dust cloud,"頭 do → du: the initial is direct; o and u are not separable at the ~50% vowel recovery §7 reports. 曼 mɑn → man: exact, and the coda -n is written, because -n is one of the six codas the Chinese syllable can carry. One vowel change in two syllables. The rival reading tümen needs ü, which the Later Han script cannot write at all. duman / tuman / touman “smoke, fog, mist” is one word across Kāşgarî, the Codex Cumanicus and modern Turkish. The standard identification is tümen “ten thousand”, which is absent from the Cuman vocabulary entirely.",author's proposal; not supported by any measurement in the paper
冒頓,Modu / Modun,mək tuənᶜ,mık tuın,Bögü Tuğ,sage standard,"The frame is b/m – k/g – t/d – nasal or stop, and both codas are written, which makes it one of the tightest frames in the record and also one of the least determinate, because neither character has a single value. 冒 has two Later Han readings, mək and mouᶜ; 頓 has tuənᶜ and tuət, and a third value from the commentarial note 頓音毒, reported by Pulleyblank as Early Middle Chinese dawk, which is a substitution recorded by a commentator rather than a row of the table. 冒 mək → bögü: the m- stands for a source b-, 3 of 22 in the Later Han corpus, 13.6%; the written -k stands for the source g; and the final vowel is not written, one character covering two source syllables, a device found in 47 of the 1,017 verified pairs, as 竭 covers -gata in tathāgata. There is a character-level precedent as well as a rate: 冒 and 默 share the reading mək and 默啜 is read Bögü-Çor, while 牟 mu writes the same word in 牟羽 for the Uyghur Bögü Qaghan. 頓 → tuğ: a velar-final second element, which the corpus writes with the -t coda of 頓's second row in 2 of 21 opportunities and with the -k of the substitution in 10 of 21, and never with the -n of the first row, 0 of 21. Bögü Tuğ, “sage standard”. tuğ is the horse-tail or yak-tail standard carried on a pole, attested in Old Turkic (tuğ taşıkar “when the standard went out”, Moyun Çor, cited by Doerfer at ETY I 170) and glossed by Kāşgarî as the drum and banner borne before the king, with toquz tuğluğ xan “a khan of nine standards”. bögü is a regnal epithet across the record: Teŋri Bögü Teŋriken, Bögü Qaghan of the Uyghurs, Bögü-Çor of the Türks; Kāşgarî glosses bügü as “bilgin, akıllı, hakim” and Clauson says it “seems to connote both wisdom and mysterious spiritual power”. Both halves are attested independently of any Chinese source and two nouns in apposition is the commonest Turkic name pattern. Why a velar-final second element. Of the three values 頓 can take, two admit a velar-final element, one admits the liquid-final Baγatur the field has read for a century, and one admits a nasal-final one. §9.2 of the paper sets out that comparison and does not choose; the preference here is this author's. What is not settled. The loan direction of tuğ is disputed: Doerfer's TMEN 969 gives it as a loan from Chinese, which would put it out of reach of a name of the early second century BC, while his own addendum in volume IV quotes Menges (1968: 169, as cited there) that the Chinese word “might well be an ancient loanword in Chinese” and Franke (letter of 23 March 1966) that the Chinese word is first attested in the Zhouli and is “kaum jünger als 2. Jh. v. Chr.”. A ninth-century check adds nothing either way, and is recorded so that it is not made twice: Tekin’s glossary to the Irk Bitig has the verb tug- “to rise (of sun)” but not the noun, the text’s word for a flag is uçrug, and bögü is not in it. That text is sixty-five omens and a few hundred words, so absence from it is not evidence of anything. The reading is also ordinary on the substitution, marginal on 頓's second row and excluded on the first, which is the row printed here; the compound is not itself attested, only its halves; and the frame does not fix the vowel of the second syllable. The rival reading carries its own difficulties, recorded in S1.4. Full discussion in S1.4.",author's proposal; not supported by any measurement in the paper. §9.2 prices the three values 頓 can take and does not choose among them; the loan direction of tuğ is disputed
稽粥,Jizhou / Jiyu,kʰeiᴮ tśuk,kei çuk,Kiçük,the younger,"稽 kʰei → ki: an aspirated velar is the ordinary vehicle for a source k, and the diphthong ei for i is routine. 粥 tśuk → çük: tś- is the default character class for a source affricate (37% in the Sanskrit corpus), and the coda -k is actually written, the strongest part of the reading, since a stop coda goes unwritten 30% of the time. Only ü is unavailable and surfaces as u. kiçig / kiçik / kiçük “small, younger” is attested three times independently: Kāşgarî has kiçik and kiçük with the derivative kiçiglik, the Kutadgu Bilig has kiçig oğlan erken “when he was a small boy” (1823), and the Codex has Kečak glossed paucus. 稽粥 is the personal name of Laoshang chanyu, Modu's son and successor, so “the younger” fits the succession the Chinese sources record.",author's proposal; not supported by any measurement in the paper
軍臣,Junchen,kun dźin,kun cin,Köngen,the one who is always upright,"軍 kun → kön: three steps, all direct. A source velar written with a Chinese k- is 190 of 220, 86.4%; a source rounded vowel written rounded is 190 of 289, 65.7%; the -n is written, 77 of 93, 82.8%. 臣 → -gen takes the second of the character’s two Later Han readings, the velar gin, rather than the palatal dźın that Appendix A prints: a source g written with a Chinese g- is 52 of 90, 57.8%, and a source front vowel written with a front vowel is 327 of 380, 86.1%. The palatal reading is not available to this name. A source voiceless affricate written with the voiced dź- is 0 of 48 in the Sanskrit corpus, so çin, çen and çan are excluded outright; the Codex forms that appear to offer an affricate are an artefact of medieval Latin spelling, in which j writes Turkic y- and c before a back vowel writes k-. Step 47 prices every combination the two characters permit, and köngen is the cheapest at 19.4%, about 1 in 5, against 1 in 9 for the best branch of 冒頓 and the 1 in 37 that retires Baγatur in §8.1 of the paper. Two syllables, two characters, nothing inserted and nothing discarded. Köngen, “the one who is always upright”. The stem is the verb kön-, which Kāşgarî glosses düzelmek, doğrulmak; yola gelmek, to straighten, to become upright, to come to the right way, and which carries a family around it: könitmek, köndgermek and köndgürmek, all doğrultmak. The suffix is -gAn, the deverbal participle with a habitual force. The suffix is counted here, not assumed. Across the 9,379 headwords of the Kāşgarî index, the Codex Cumanicus and Tekin’s glossary to the Irk Bitig, -gAn has 211 headwords and 109 of them are glossed with daima, her zaman or çok: arıtgan “her zaman temizleyen”, egilgen “daima eğilen”, etilgen “her zaman düzelen”, which is the near sibling of the form proposed here. The competing suffixes -gUn and -gIn have 72 headwords between them and not one habitual gloss: they are concrete nouns, birds and plants and body parts, a knot, a bridle. In the eleventh-century record -gAn is the productive participle and -gUn is not. The modern durgun, coşkun and ötgün belong to a later productivity of -gUn and are not evidence for this period. Vowel harmony decides a tie the transcription cannot. Köngin costs exactly what köngen costs, 1 in 5, because 臣 carries a front vowel either way. But -gAn has two shapes while -gIn and -gUn have four, so a front rounded stem such as kön- must take -gün and cannot take -gin. The Turkic evidence removes a candidate that the Chinese evidence cannot. What is not settled. Köngen is not itself an attested headword. It is a formation by a productive rule from an attested stem, which is a stronger position than a form requiring a segment that must afterwards be lost, but it is not an attestation. The lexicons are eleventh century and the name is second century BCE, so that -gAn was productive for Kāşgarî does not establish it 1250 years earlier. Whether -gAn formations were used as personal names or titles in Old Turkic is not tested here. The g to g rate is measured over all positions, and whether a g after a nasal behaves the same has not been measured. And the first element is undetermined: kön, kün, kon and kun all cost the same 47.0%, so choosing kön- is a choice made on meaning, which is the first of the three reasoning habits this supplement lists against itself.",author's proposal; not supported by any measurement in the paper
伊稚斜,Yizhixie,ʔi ḍiᶜ ja,’i di ya,İdiya,master,"伊 ʔi → i: a glottal onset is the standard way to write a vowel-initial syllable. 稚 ḍi → di: retroflex ḍ for d is routine. 斜 ja → ya: this character class emits ya more strongly than any other single-syllable correspondence in the record. All three steps are default. idi “lord, master”, attested in Old Turkic. Compare Murad I's epithet Hüdavendigâr, “the sovereign”, a title of the same shape and force.",author's proposal; not supported by any measurement in the paper
烏維,Wuwei,ʔɑ wi,’a vi,Abı,one who hunts or stalks,"烏 ʔɑ → a: vowel-initial, direct. 維 wi → bı is the weak step: the Chinese character carries a w-, and while Turkic b- and w- alternate, the transcription reads more naturally as avı than abı. This is one of only five items in the record decoded entirely from character-specific evidence, so the mismatch cannot be attributed to a gap in the data. av “hunt”, avcı “hunter”. Avcı names an occupation; abı is proposed as naming a trait. Avcı is also the epithet of Mehmed IV.",author's proposal; not supported by any measurement in the paper
詹師廬,Zhanshilu,tśam ṣi liɑ,çam şi lia,Çamşılı,"dazzling, radiant","詹 tśam → çam: tś- is the default affricate spelling and the -m coda is written. 師 ṣi → şı: the retroflex sibilant is the standard vehicle for ş. 廬 liɑ → lı: note that Chinese l- also carries source r-: in the paper's correspondence counts an r- was written l- in 12 of 14 attestations, so this syllable is genuinely ambiguous between -lı and -rı. A stem of shining or dazzling. The solar reading this once echoed at 軍臣 has been withdrawn, so it stands alone.",author's proposal; not supported by any measurement in the paper
呴犁湖,Xulihu / Goulihu,huo lei gɑ,huo lei ga,Kalık,"sky, heaven","呴 huo → ka, 犁 lei → lı, 湖 gɑ → k: three onsets, each taken from the majority correspondence, with nothing inserted and no coda discarded. The velar class covers h-, k- and g- alike, so the first and third syllables cost nothing. Kāşgarî glosses kalık “hava, gök, sema” (air, sky, heaven). The word belongs to the same semantic field as 撑犁, the one Xiongnu term the Chinese sources gloss (天 “heaven”), so a ruler bearing it would not be isolated in the record. A second exact fit, kılık “disposition, manner”, is available if the sky reading is thought too convenient.",author's proposal; not supported by any measurement in the paper
且鞮侯,Qiedihou,tsɑᴮ te go,tsa te go,Çatıgka,one ready for the clash,"且 tsɑ → ça: ts- for a source affricate is a minority spelling but a real one, 15% in the Sanskrit corpus and 9% in Ligeti. 鞮 te → tı: direct. 侯 go → gka asks a single Chinese syllable to carry a consonant cluster it structurally cannot, so the reading adds material the transcription does not have. çat- “to strike together, to clash”. Compare Selçuk Bey, whose name has been read as “perpetually ready for the fight”.",author's proposal; not supported by any measurement in the paper
狐鹿姑,Hulugu,ɣuɑ lok kɑ,ğua lok ka,Kurluga,"the encloser, the binder","姑 kɑ → ga is well supported by the velar correspondence. The other two syllables are not: 狐 ɣuɑ → kur supplies an -r that Later Han has no coda slot for, and 鹿 lok → lu discards a coda that was written. Adding an unwritable segment and dropping a written one in the same word pulls in opposite directions. 狐鹿姑 captured the Han general Li Guangli and held the confederation together through a hard decade, so an epithet of binding fits the record. Compare the Göktürk ruler Kapgan Kagan, kapgan “the encloser”.",author's proposal; not supported by any measurement in the paper
